key,nation,state,county,date,Cases,Delta,DeltaNormal,7DayDelta,7DayDeltaNormal,DoubleSpeed
"Korea- South","Korea, South",,2020-01-22,128.0,128,,,,
"Korea- South","Korea, South",,2020-01-23,128.0,0,,,,1
"Korea- South","Korea, South",,2020-01-24,128.0,0,,,,2
"Korea- South","Korea, South",,2020-01-25,128.0,0,,,,3
"Korea- South","Korea, South",,2020-01-26,128.0,0,,,,4
"Korea- South","Korea, South",,2020-01-27,128.0,0,,,,5
"Korea- South","Korea, South",,2020-01-28,128.0,0,,,,6
"Korea- South","Korea, South",,2020-01-29,128.0,0,,,,7
"Korea- South","Korea, South",,2020-01-30,128.0,0,,,,8
"Korea- South","Korea, South",,2020-01-31,128.0,0,,0,,9
"Korea- South","Korea, South",,2020-02-01,128.0,0,,,,10
"Korea- South","Korea, South",,2020-02-02,128.0,0,,,,11
"Korea- South","Korea, South",,2020-02-03,128.0,0,,,,12
"Korea- South","Korea, South",,2020-02-04,128.0,0,,,,13
"Korea- South","Korea, South",,2020-02-05,128.0,0,,,,14
"Korea- South","Korea, South",,2020-02-06,128.0,0,,,,15
"Korea- South","Korea, South",,2020-02-07,128.0,0,,0,,16
"Korea- South","Korea, South",,2020-02-08,128.0,0,,,,17
"Korea- South","Korea, South",,2020-02-09,128.0,0,,,,18
"Korea- South","Korea, South",,2020-02-10,128.0,0,,,,19
"Korea- South","Korea, South",,2020-02-11,128.0,0,,,,20
"Korea- South","Korea, South",,2020-02-12,128.0,0,,,,21
"Korea- South","Korea, South",,2020-02-13,128.0,0,,,,22
"Korea- South","Korea, South",,2020-02-14,128.0,0,,0,,23
"Korea- South","Korea, South",,2020-02-15,128.0,0,,,,24
"Korea- South","Korea, South",,2020-02-16,128.0,0,,,,25
"Korea- South","Korea, South",,2020-02-17,128.0,0,,,,26
"Korea- South","Korea, South",,2020-02-18,128.0,0,,,,27
"Korea- South","Korea, South",,2020-02-19,128.0,0,,,,28
"Korea- South","Korea, South",,2020-02-20,128.0,0,,,,29
"Korea- South","Korea, South",,2020-02-21,128.0,0,,0,,30
"Korea- South","Korea, South",,2020-02-22,128.0,0,,,,31
"Korea- South","Korea, South",,2020-02-23,128.0,0,,,,32
"Korea- South","Korea, South",,2020-02-24,128.0,0,,,,33
"Korea- South","Korea, South",,2020-02-25,128.0,0,,,,34
"Korea- South","Korea, South",,2020-02-26,128.0,0,,,,35
"Korea- South","Korea, South",,2020-02-27,128.0,0,,,,36
"Korea- South","Korea, South",,2020-02-28,128.0,0,,0,,37
"Korea- South","Korea, South",,2020-02-29,128.0,0,,,,38
"Korea- South","Korea, South",,2020-03-01,128.0,0,,,,39
"Korea- South","Korea, South",,2020-03-02,128.0,0,,,,40
"Korea- South","Korea, South",,2020-03-03,128.0,0,,,,41
"Korea- South","Korea, South",,2020-03-04,128.0,0,,,,42
"Korea- South","Korea, South",,2020-03-05,128.0,0,,,,43
"Korea- South","Korea, South",,2020-03-06,128.0,0,,0,,44
"Korea- South","Korea, South",,2020-03-07,128.0,0,,,,45
"Korea- South","Korea, South",,2020-03-08,128.0,0,,,,46
"Korea- South","Korea, South",,2020-03-09,128.0,0,,,,47
"Korea- South","Korea, South",,2020-03-10,128.0,0,,,,48
"Korea- South","Korea, South",,2020-03-11,128.0,0,,,,49
"Korea- South","Korea, South",,2020-03-12,128.0,0,,,,50
"Korea- South","Korea, South",,2020-03-13,128.0,0,,0,,51
"Korea- South","Korea, South",,2020-03-14,128.0,0,,,,52
"Korea- South","Korea, South",,2020-03-15,128.0,0,,,,53
"Korea- South","Korea, South",,2020-03-16,128.0,0,,,,54
"Korea- South","Korea, South",,2020-03-17,128.0,0,,,,55
"Korea- South","Korea, South",,2020-03-18,128.0,0,,,,56
"Korea- South","Korea, South",,2020-03-19,128.0,0,,,,57
"Korea- South","Korea, South",,2020-03-20,128.0,0,,0,,58
"Korea- South","Korea, South",,2020-03-21,128.0,0,,,,59
"Korea- South","Korea, South",,2020-03-22,128.0,0,,,,60
"Korea- South","Korea, South",,2020-03-23,128.0,0,,,,61
"Korea- South","Korea, South",,2020-03-24,128.0,0,,,,62
"Korea- South","Korea, South",,2020-03-25,128.0,0,,,,63
"Korea- South","Korea, South",,2020-03-26,128.0,0,,,,64
"Korea- South","Korea, South",,2020-03-27,128.0,0,,0,,65
"Korea- South","Korea, South",,2020-03-28,128.0,0,,,,66
"Korea- South","Korea, South",,2020-03-29,128.0,0,,,,67
"Korea- South","Korea, South",,2020-03-30,128.0,0,,,,68
"Korea- South","Korea, South",,2020-03-31,128.0,0,,,,69
"Korea- South","Korea, South",,2020-04-01,128.0,0,,,,70
"Korea- South","Korea, South",,2020-04-02,128.0,0,,,,71
"Korea- South","Korea, South",,2020-04-03,128.0,0,,0,,72
"Korea- South","Korea, South",,2020-04-04,128.0,0,,,,73
"Korea- South","Korea, South",,2020-04-05,128.0,0,,,,74
"Korea- South","Korea, South",,2020-04-06,128.0,0,,,,75
"Korea- South","Korea, South",,2020-04-07,128.0,0,,,,76
"Korea- South","Korea, South",,2020-04-08,128.0,0,,,,77
"Korea- South","Korea, South",,2020-04-09,128.0,0,,,,78
"Korea- South","Korea, South",,2020-04-10,128.0,0,,0,,79
"Korea- South","Korea, South",,2020-04-11,128.0,0,,,,80
"Korea- South","Korea, South",,2020-04-12,128.0,0,,,,81
"Korea- South","Korea, South",,2020-04-13,128.0,0,,,,82
"Korea- South","Korea, South",,2020-04-14,128.0,0,,,,83
"Korea- South","Korea, South",,2020-04-15,128.0,0,,,,84
"Korea- South","Korea, South",,2020-04-16,128.0,0,,,,85
"Korea- South","Korea, South",,2020-04-17,128.0,0,,0,,86
